"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","-- *",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Environment","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Governance","Board Issues","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Governance","Executive Pay","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Alcohol","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Animal Welfare","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Gambling","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Tobacco","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Community Development","P",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Human Rights","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Labor Relations","--",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Sudan","X",1,1.94,0.56,1.59,0.00,0.50,1.01,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","-- *",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Environment","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Pollution/Toxics","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Alcohol","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Animal Welfare","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Gambling","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Tobacco","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Community Development","P",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Diversity & EEO","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Human Rights","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Labor Relations","--",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Sudan","X",1,2.02,0.91,1.58,3.50,0.50,0.65,660.42
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Environment","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Governance","Board Issues","--",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Alcohol","X",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Animal Welfare","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Gambling","X",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Tobacco","X",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Community Development","--",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Diversity & EEO","--",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Human Rights","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Labor Relations","R",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Sudan","X",1,2.99,12.75,9.92,7.07,0.80,0.99,69.47
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Climate/Clean Technology","C *",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Environment","C",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Pollution/Toxics","C",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Governance","Board Issues","C",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Governance","Executive Pay","C",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Alcohol","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Animal Welfare","--",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Defense/Weapons","R",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Gambling","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Tobacco","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Community Development","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Diversity & EEO","--",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Human Rights","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Labor Relations","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Sudan","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Climate/Clean Technology","C *",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Environment","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Governance","Board Issues","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Governance","Executive Pay","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Alcohol","X",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Animal Welfare","--",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Defense/Weapons","R",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
