Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,MMM,3M Company,217.72,$129.93B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,1,0,0,1,0,1,1,0,"St. Paul, MN",F,F,F,F,F,F,F,F,F,,100,100,98
NYSE,SHW,Sherwin-Williams Company (The),385.84,$36.04B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/shw,1,0,0,1,1,0,1,0,"Cleveland, OH",P,P,N,N,N,N,N,N,N,,20,20,266
NasDaq,SIRI,Sirius XM Holdings Inc.,5.71,$26.34B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
NasDaq,SKYW,"SkyWest, Inc.",46.65,$2.42B,1986,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/skyw,1,0,0,0,1,0,1,0,"St. George, UT",F,F,F,F,F,N,F,F,F,,90,90,
NYSE,SAH,"Sonic Automotive, Inc.",20.35,$892.58M,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/sah,1,0,0,0,0,0,1,0,"Charlotte, NC",N,N,N,N,N,N,N,N,N,,0,0,315
NYSE,SON,Sonoco Products Company,51.64,$5.13B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/son,1,0,0,0,0,0,1,0,"Hartsville, SC",F,F,F,F,F,N,N,F,F,,80,,516
NYSE,LUV,Southwest Airlines Company,59.12,$35.39B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/luv,1,0,0,0,1,0,1,0,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,100,161
NasDaq,SPTN,SpartanNash Company,25.53,$951.52M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn,1,0,0,0,0,0,1,0,"Grand Rapids, MI",N,N,N,N,N,N,N,N,N,,10,,359
NYSE,SPR,"Spirit Aerosystems Holdings, Inc.",79.54,$9.41B,2006,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/spr,1,0,0,0,0,0,1,0,"Wichita, KS",N,N,N,N,N,N,N,N,N,,0,,396
NYSE,S,Sprint Corporation,7.12,$28.46B,2013,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/s,1,0,0,1,0,0,1,0,"Overland Park, KS",F,F,F,F,F,F,F,F,F,,100,100,
NasDaq,SBUX,Starbucks Corporation,55.72,$80.45B,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux,1,0,0,1,0,1,1,0,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,187
NasDaq,STLD,"Steel Dynamics, Inc.",36.92,$8.86B,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld,1,0,0,0,0,0,1,0,"Fort Wayne, IN",P,P,N,N,N,N,N,N,N,,20,20,326
NYSE,SCS,Steelcase Inc.,15.4,$1.79B,1998,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/scs,1,0,0,0,0,0,1,0,"Grand Rapids, MI",F,F,F,F,F,F,F,F,F,,100,100,759
NYSE,SYK,Stryker Corporation,146.69,$54.87B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/syk,1,0,0,0,0,1,1,0,"Kalamazoo, MI",F,F,F,F,F,F,F,F,F,,100,80,300
NasDaq,SPWR,SunPower Corporation,6.96,$970.86M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr,1,0,0,0,0,0,1,0,"San Jose, CA",F,F,F,F,F,F,N,P,P,,75,75,748
NYSE,SVU,SuperValu Inc.,20.2,$774.69M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/svu,1,0,0,0,0,0,1,0,"Eden Prairie, MN",F,F,N,F,F,F,N,F,P,,80,80,164
NasDaq,SYMC,Symantec Corporation,32.36,$19.89B,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc,1,0,0,1,0,0,1,0,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,405
NYSE,SYF,Synchrony Financial,30.82,$24.51B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/syf,1,0,0,0,0,0,1,0,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,SNX,Synnex Corporation,132.78,$5.31B,2003,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/snx,1,0,0,0,0,0,1,0,"Fremont, CA",F,F,N,F,N,N,N,N,N,,40,40,220
NYSE,SYY,Sysco Corporation,54.45,$28.46B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/syy,1,0,0,1,0,1,1,0,"Houston, TX",F,F,F,F,F,N,F,F,P,,80,70,61
NasDaq,TROW,"T. Rowe Price Group, Inc.",94.94,$22.82B,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,95,620
NYSE,TGT,Target Corporation,60.85,$33.24B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/tgt,1,0,0,1,0,1,1,0,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,36
NasDaq,AMTD,TD Ameritrade Holding Corporation,47.31,$26.74B,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd,1,0,0,0,0,0,1,0,"Omaha, NE",F,F,F,F,F,F,F,F,F,,100,100,727
