Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
3M Co.,"St. Paul, MN",F,F,F,F,F,F,F,F,F,,100,100,98
A.T. Kearney Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
A|X Armani Exchange,"New York, NY",P,P,F,F,F,F,F,F,P,,85,85,
Abbott Laboratories,"Abbott Park, IL",F,F,F,F,F,,,F,P,,75,75,134
AbbVie Inc.,"North Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,146
Abercrombie & Fitch Co.,"New Albany, OH",F,F,F,F,F,F,F,F,F,,100,100,648
Accenture,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Acer America Corp.,"San Jose, CA",P,,,F,P,,,,,,25,25,
Adecco North America LLC,"Jacksonville, FL",F,F,F,F,F,,F,F,P,,85,85,
Adidas North America Inc.,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,100,
Adobe Systems Inc.,"San Jose, CA",F,F,F,F,F,F,F,F,F,,100,100,605
ADT,"Boca Raton, FL",P,,F,F,F,,,P,P,,45,10,689
Advance Auto Parts (Advance Holding),"Roanoke, VA",P,P,,,,,,,,,20,20,294
Advanced Micro Devices Inc.,"Sunnyvale, CA",F,F,F,F,F,F,F,F,F,,100,80,473
AECOM,"Los Angeles, CA",F,F,F,F,F,,F,F,P,,85,85,343
AÌ©ropostale Inc.,"New York, NY",F,F,F,F,F,F,,P,F,,85,85,
"AES Corp., The","Arlington, VA",,,,,,,,,,,0,0,178
Aetna Inc.,"Hartford, CT",F,F,F,F,F,F,F,F,F,,100,100,49
Aflac Inc.,"Columbus, GA",P,P,F,F,F,,F,F,P,,75,75,132
Agco,"Duluth, GA",P,,,,,,,,,,10,10,296
Agilent Technologies Inc.,"Santa Clara, CA",F,F,F,F,F,F,F,P,F,,95,90,389
Ahold USA Inc.,"Quincy, MA",F,F,F,F,F,F,F,F,P,,95,40,
AIG,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,46
Air Products & Chemicals Inc.,"Allentown, PA",F,F,F,F,F,F,F,F,F,,100,95,284
Airbnb Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
AK Steel Holding Corp.,"West Chester, OH",P,P,,,,,,,,,20,20,415
Akamai Technologies Inc.,"Cambridge, MA",F,F,F,F,F,F,F,F,F,,100,75,
Akerman LLP,"Miami, FL",F,F,F,F,F,F,F,F,F,,100,100,
"Akin, Gump, Strauss, Hauer & Feld LLP","Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Alaska Airlines,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,484
Alcoa Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,125
Alleghany Corp.,"New York, NY",P,P,,,,,,,,,20,20,499
Allergan Inc.,"Irvine, CA",P,P,,,,,,,,,20,10,380
Alliance Data Systems Corp.,"Plano, TX",F,F,F,F,F,,F,P,P,,80,,494
Alliance One International,"Morrisville, NC",F,F,F,,F,,,P,P,,55,,912
AllianceBernstein LP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Alliant Energy Corp.,"Madison, WI",F,F,F,F,F,,F,F,F,,90,90,697
Allianz Life Insurance Co. of North America,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,85,
Allscripts-Misys Healthcare Solutions Inc.,"Chicago, IL",P,,F,,P,,,P,P,,30,30,
Allstate Insurance Co,"Northbrook, IL",F,F,F,F,F,,F,F,P,,85,85,89
Ally Financial Inc.,"Detroit, MI",F,F,F,F,F,F,F,F,F,,100,20,295
Alston & Bird LLP,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,
Altria Group Inc.,"Richmond, VA",F,F,,F,F,F,,F,F,,85,85,169
A-Mark Precious Metals,"Santa Monica, CA",,,,,,,,,,,0,,444
Amazon.com Inc.,"Seattle, WA",F,F,F,F,F,F,,F,F,,90,85,29
AMC Entertainment Inc.,"Leawood, KS",F,F,F,F,F,F,F,F,F,,100,100,
Ameren Corp.,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,90,438
American Airlines,"Fort Worth, TX",F,F,F,F,F,F,F,F,F,,100,100,70
American Apparel LLC,"Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,
American Eagle Outfitters Inc.,"Pittsburgh, PA",F,F,F,F,F,F,F,F,F,,100,100,703
American Electric Power Co. Inc.,"Columbus, OH",F,F,F,F,F,F,F,F,F,,100,95,184
American Express Co.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,88
American Express Global Business Travel,"Jersey City, NJ",F,F,F,F,F,F,F,F,F,,100,100,
American Family Insurance Group,"Madison, WI",F,F,F,F,F,F,F,F,F,,100,100,358
American Financial Group,"Cincinnati, OH",P,P,,,,,,,,,20,20,459
Ameriprise Financial Inc.,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,247
AmerisourceBergen Corp.,"Chesterbrook, PA",F,F,F,F,F,F,,F,P,,85,75,16
Amgen Inc.,"Thousand Oaks, CA",F,F,F,F,F,F,F,F,F,,100,90,145
Amphenol Corp.,"Wallingford, CT",,,,,,,,,,,0,,487
Anadarko Petroleum,"The Woodlands, TX",P,P,,F,F,,,,,,40,20,162
Andrews Kurth LLP,"Houston, TX",F,F,F,F,F,,F,F,F,,90,90,
Anheuser-Busch Companies Inc.,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,
Anixter International Inc.,"Glenview, IL",P,P,,,,,,,,,20,20,420
Anthem Inc.,"Indianapolis, IN",F,F,F,F,F,F,F,F,F,,100,100,38
AOL,"New York, NY",F,F,F,F,F,F,,F,P,,85,85,858
Aon Corp.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Apache Corp.,"Houston, TX",P,P,,,,,,,,,20,20,218
Apple Inc.,"Cupertino, CA",F,F,F,F,F,F,F,F,F,,100,100,5
Applied Materials Inc.,"Santa Clara, CA",F,F,F,F,F,F,,P,F,,85,80,319
Aramark Corp.,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,207
Archer Daniels Midland Co.,"Decatur, IL",F,F,,F,F,,,F,P,,65,35,34
Arconic Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Arent Fox LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,95,
Armstrong Teasdale LLP,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,
Arnold & Porter LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
ARRIS Group,"Suwanee, GA",,,,,,,,,,,0,,492
Arrow Electronics,"Centennial, CO",F,F,F,F,F,F,,F,P,,85,75,131
Arup USA Inc,"New York, NY",F,F,F,F,F,F,,F,F,,90,,
Asbury Automotive Group,"Duluth, GA",P,,,,,,,,,,10,10,450
Ashland Inc.,"Covington, KY",F,F,F,F,F,,,P,P,,65,65,371
Assurant,"New York, NY",F,F,F,F,F,,F,F,F,,90,85,285
