Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NasDaq,CHTR,"Charter Communications, Inc.",357.4,$92.17B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,1,0,0,0,0,0,1,0,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,10,317,90,Moderate Buy
NYSE,LM,"Legg Mason, Inc.",38.74,$3.63B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,10,808,85,Moderate Buy
NYSE,FIS,"Fidelity National Information Services, Inc.",94.96,$31.57B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fis,1,0,0,1,0,0,1,1,"Jacksonville, FL",F,F,F,F,F,N,F,F,F,,90,10,422,80,Strong Buy
NYSE,TEL,TE Connectivity Ltd.,87.74,$31.01B,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tel,1,0,0,1,0,0,1,0,"Berwyn, PA",F,F,F,F,F,F,F,F,F,,100,90,,10,Strong Buy
NYSE,UA,"Under Armour, Inc.",14.95,$6.59B,2016,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ua,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,20,739,75,Hold
NasDaq,URBN,"Urban Outfitters, Inc.",22.54,$2.48B,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/urbn,1,0,0,0,0,0,1,0,"Philadelphia, PA",F,F,F,F,F,F,N,F,P,,85,10,701,75,Hold
NYSE,EMN,Eastman Chemical Company,88.65,$12.84B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn,1,0,0,1,1,0,1,0,"Kingsport, TN",F,F,F,F,F,F,F,F,P,,95,20,305,75,Moderate Buy
NYSE,HII,"Huntington Ingalls Industries, Inc.",234.4,$10.64B,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/hii,1,0,0,0,0,0,1,0,"Newport News, VA",F,F,F,F,F,N,F,F,P,,85,10,390,75,Hold
NasDaq,GT,The Goodyear Tire & Rubber Company,33.01,$8.31B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt,1,0,0,1,1,0,1,0,"Akron, OH",F,F,F,F,F,N,N,F,F,,80,10,166,70,Strong Buy
NYSE,PSX,Phillips 66,94.43,$48.3B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/psx,1,0,0,0,0,1,1,0,"Houston, TX",F,F,F,F,F,N,N,F,P,,75,20,7,55,Moderate Buy
