date,calories,splat,black,blue,green,orange,red,base,push,allout
8/14/2017,590,22,1,3,30,22,0,4.5,5.8,6.5
8/15/2017,607,24,1,4,27,24,0,4.5,5.8,6.5
8/16/2017,667,26,1,7,29,26,0,4.5,5.8,6.5
8/17/2017,560,21,3,4,25,21,0,4.5,5.8,6.5
8/18/2017,576,22,6,7,21,22,0,4.5,5.8,6.5
8/21/2017,638,24,2,7,27,23,1,4.8,6,7
8/22/2017,572,18,2,5,29,18,0,4.8,6,7
8/23/2017,679,35,1,2,22,32,3,4.8,6,7
8/24/2017,624,24,1,5,30,24,0,4.8,6,7
9/25/2017,640,26,1,4,25,25,1,4.8,6,7
8/28/2017,622,24,1,3,28,23,1,4.8,6,7
8/29/2017,612,22,2,6,26,22,0,4.8,6,7
8/30/2017,553,16,1,2,39,16,0,4.8,6,7
8/31/2017,620,23,1,4,29,23,0,4.8,6,7
9/1/2017,606,21,2,5,31,20,1,4.8,6,7
9/4/2017,658,28,1,6,21,27,1,4.8,6,7
9/5/2017,568,16,2,5,33,16,0,4.8,6,7
9/6/2017,575,17,1,4,34,17,0,4.8,6,7
9/7/2017,649,28,2,3,23,28,0,4.8,6,7
9/8/2017,583,17,1,3,39,16,1,4.8,6,7
9/11/2017,571,16,1,4,35,15,1,4.8,6,7
9/12/2017,652,28,1,4,23,28,0,4.8,6,7
9/13/2017,608,20,2,5,31,20,0,4.8,6,7
9/14/2017,575,16,2,3,38,16,0,4.8,6,7
9/15/2017,597,18,2,6,31,18,0,4.8,6,7
