"Exchange","Symbol","Name","Sector","industry","MarketCap","MarketCapNum","MarketCap(B)","Summary Quote","Reporting Year","ISIN","Performance Band","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","TotalMetricTonnesCO2e","Co2eMarketCapRatio","Notes"
"NasDaq","ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software","$75.88B",75880000000.00,75.88,"http://www.nasdaq.com/symbol/adbe",2013,"US00724F1012","A",2744.00,22995.00,25739.00,0.33,"Response Status: AQ*"
"NasDaq","ADP","Automatic Data Processing, Inc.","Technology","EDP Services","$50.6B",50600000000.00,50.60,"http://www.nasdaq.com/symbol/adp",2011,"US0530151036","D",18000.00,155000.00,173000.00,3.41,"Response Status: AQ*; PB Estimated"
"NasDaq","ADP","Automatic Data Processing, Inc.","Technology","EDP Services","$50.6B",50600000000.00,50.60,"http://www.nasdaq.com/symbol/adp",2012,"US0530151036","D",17300.00,146000.00,163300.00,3.22,"Response Status: AQ*"
"NasDaq","ADP","Automatic Data Processing, Inc.","Technology","EDP Services","$50.6B",50600000000.00,50.60,"http://www.nasdaq.com/symbol/adp",2013,"US0530151036","C",15500.00,157100.00,172600.00,3.41,"Response Status: AQ*"
"NasDaq","AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$133.54B",133540000000.00,133.54,"http://www.nasdaq.com/symbol/amgn",2011,"US0311621009","E",136986.00,293997.00,430983.00,3.22,"Response Status: AQ*"
"NasDaq","AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$133.54B",133540000000.00,133.54,"http://www.nasdaq.com/symbol/amgn",2012,"US0311621009","B",126233.00,274718.00,400951.00,3.00,"Response Status: AQ*"
"NasDaq","AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$133.54B",133540000000.00,133.54,"http://www.nasdaq.com/symbol/amgn",2013,"US0311621009","B",119968.00,286679.00,406647.00,3.04,"Response Status: AQ*"
"NasDaq","BIIB","Biogen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$71.39B",71390000000.00,71.39,"http://www.nasdaq.com/symbol/biib",2012,"US09062X1037","B",46557.00,54589.00,101146.00,1.41,"Response Status: AQ*"
"NasDaq","BIIB","Biogen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$71.39B",71390000000.00,71.39,"http://www.nasdaq.com/symbol/biib",2013,"US09062X1037","B",46588.00,39307.00,85895.00,1.20,"Response Status: AQ*"
"NasDaq","CELG","Celgene Corporation","Health Care","Major Pharmaceuticals","$106.76B",106760000000.00,106.76,"http://www.nasdaq.com/symbol/celg",2011,"US1510201049","E",5903.00,9644.00,15547.00,0.14,"Response Status: AQ*"
