Name,Fund Type,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
SSIAX - 1919 Socially Responsive Balanced Fund - A,Balanced,4.52,7,5,7,7,7,7,7,5,7,7,1,1,5,1,5
SESIX - 1919 Socially Responsive Balanced Fund - B,Balanced,3.59,7,5,7,7,7,7,7,5,7,7,1,1,5,1,5
SESLX - 1919 Socially Responsive Balanced Fund - C,Balanced,3.76,7,5,7,7,7,7,7,5,7,7,1,1,5,1,5
LMRNX - 1919 Socially Responsive Balanced Fund - I,Balanced,4.8,7,5,7,7,7,7,7,5,7,7,1,1,5,1,5
ACASX - Access Capital Community Investment Fund A,Bond (Fixed Inc),1.94,2,9,1,3,1,1,1,9,1,1,9,9,9,9,9
ACCSX - Access Capital Community Investment Fund I,Bond (Fixed Inc),2.02,2,1,1,3,1,1,1,9,1,1,9,9,9,9,9
APPLX - Appleseed Fund,Int'l Global,1.17,8,7,7,3,1,3,3,9,7,7,9,1,5,9,9
APPIX - Appleseed Fund Institutional,Int'l Global,1.41,8,7,7,3,1,3,3,9,7,7,9,1,5,9,9
CAAPX - Ariel Appreciation Fund,Equity Mid-Sm Cap,4.38,1,1,3,3,3,1,1,9,3,1,1,1,9,1,9
ARDFX - Ariel Discovery Fund,Equity Specialty,-3.99,1,1,1,3,3,1,1,9,3,1,1,1,9,1,9
ARFFX - Ariel Focus Fund,All Cap,2.43,1,1,3,3,3,1,1,9,3,1,1,1,9,1,9
ARGFX - Ariel Fund,Equity Mid-Sm Cap,5.91,1,1,3,3,3,1,1,9,3,1,1,1,9,1,9
REDWX - Aspiration Redwood Fund,Equity Large Cap,0,3,3,3,3,3,3,3,9,3,3,9,9,9,9,9
ADJEX - Azzad Ethical Fund,Equity Mid-Sm Cap,2.99,5,5,5,1,1,5,5,9,1,1,9,5,9,9,9
WISEX - Azzad Wise Capital Fund,Bond (Fixed Inc),1.05,5,1,5,3,1,5,5,9,1,1,9,5,9,9,9
BCAIX - Boston Common International Fund,Int'l Global,2.68,7,7,7,3,7,7,7,5,7,1,5,5,5,5,5
BCAMX - Boston Common Large Cap Core Equity Fund,Equity Large Cap,7.56,7,7,7,3,7,7,7,5,3,1,5,5,5,5,5
BAFWX - Brown Advisory Sustainable Growth Fund,Equity Large Cap,13.31,3,3,3,3,3,3,3,1,3,3,1,1,1,1,1
CAAAX - Calvert Aggressive Allocation Fund A,Equity Specialty,6.81,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CAACX - Calvert Aggressive Allocation Fund C,Equity Specialty,5.84,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSIFX - Calvert Balanced Portfolio A,Balanced,4.55,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CSGCX - Calvert Balanced Portfolio C,Balanced,3.71,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CBAIX - Calvert Balanced Portfolio I,Balanced,4.97,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CBAYX - Calvert Balanced Portfolio Y,Balanced,4.78,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSIBX - Calvert Bond Portfolio A,Bond (Fixed Inc),2.71,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CSBCX - Calvert Bond Portfolio C,Bond (Fixed Inc),1.83,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CBDIX - Calvert Bond Portfolio I,Bond (Fixed Inc),3.17,7,7,7,3,7,7,7,9,7,7,7,1,7,5,5
CSIYX - Calvert Bond Portfolio Y,Bond (Fixed Inc),3,7,7,7,3,7,7,7,9,7,7,7,5,7,5,5
CCAFX - Calvert Capital Accumulation Fund A,Equity Mid-Sm Cap,2.75,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CCACX - Calvert Capital Accumulation Fund C,Equity Mid-Sm Cap,1.98,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CCPIX - Calvert Capital Accumulation Fund I,Equity Mid-Sm Cap,3.25,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CCAYX - Calvert Capital Accumulation Fund Y,Equity Mid-Sm Cap,3,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CCLAX - Calvert Conservative Allocation Fund A,Equity Specialty,4.32,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CALCX - Calvert Conservative Allocation Fund C,Equity Specialty,3.42,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CVMAX - Calvert Emerging Markets Equity Fund A,Int'l Global,6.59,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CVMCX - Calvert Emerging Markets Equity Fund C,Int'l Global,5.72,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CVMIX - Calvert Emerging Markets Equity Fund I,Int'l Global,6.97,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CVMYX - Calvert Emerging Markets Equity Fund Y,Int'l Global,6.84,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSIEX - Calvert Equity Portfolio A,Equity Large Cap,8.84,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSECX - Calvert Equity Portfolio C,Equity Large Cap,8.03,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CEYIX - Calvert Equity Portfolio I,Equity Large Cap,9.32,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
