Fund Type,Name,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
Balanced,SSIAX - 1919 Socially Responsive Balanced Fund - A,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R
Balanced,SESIX - 1919 Socially Responsive Balanced Fund - B,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R
Balanced,SESLX - 1919 Socially Responsive Balanced Fund - C,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R
Balanced,LMRNX - 1919 Socially Responsive Balanced Fund - I,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R
Bond (Fixed Inc),ACASX - Access Capital Community Investment Fund A,-- *,X,--,P,--,--,--,X,--,--,X,X,X,X,X
Bond (Fixed Inc),ACCSX - Access Capital Community Investment Fund I,-- *,--,--,P,--,--,--,X,--,--,X,X,X,X,X
Int'l Global,APPLX - Appleseed Fund,C *,C,C,P,--,P,P,X,C,C,X,--,R,X,X
Int'l Global,APPIX - Appleseed Fund Institutional,C *,C,C,P,--,P,P,X,C,C,X,--,R,X,X
Equity Mid-Sm Cap,CAAPX - Ariel Appreciation Fund,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X
Equity Specialty,ARDFX - Ariel Discovery Fund,--,--,--,P,P,--,--,X,P,--,--,--,X,--,X
All Cap,ARFFX - Ariel Focus Fund,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X
Equity Mid-Sm Cap,ARGFX - Ariel Fund,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X
Equity Large Cap,REDWX - Aspiration Redwood Fund,P,P,P,P,P,P,P,X,P,P,X,X,X,X,X
Equity Mid-Sm Cap,ADJEX - Azzad Ethical Fund,R,R,R,--,--,R,R,X,--,--,X,R,X,X,X
Bond (Fixed Inc),WISEX - Azzad Wise Capital Fund,R,--,R,P,--,R,R,X,--,--,X,R,X,X,X
Int'l Global,BCAIX - Boston Common International Fund,C,C,C,P,C,C,C,R,C,--,R,R,R,R,R
Equity Large Cap,BCAMX - Boston Common Large Cap Core Equity Fund,C,C,C,P,C,C,C,R,P,--,R,R,R,R,R
Equity Large Cap,BAFWX - Brown Advisory Sustainable Growth Fund,P,P,P,P,P,P,P,--,P,P,--,--,--,--,--
Equity Specialty,CAAAX - Calvert Aggressive Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Specialty,CAACX - Calvert Aggressive Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Balanced,CSIFX - Calvert Balanced Portfolio A,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Balanced,CSGCX - Calvert Balanced Portfolio C,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Balanced,CBAIX - Calvert Balanced Portfolio I,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Balanced,CBAYX - Calvert Balanced Portfolio Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CSIBX - Calvert Bond Portfolio A,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Bond (Fixed Inc),CSBCX - Calvert Bond Portfolio C,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Bond (Fixed Inc),CBDIX - Calvert Bond Portfolio I,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R
Bond (Fixed Inc),CSIYX - Calvert Bond Portfolio Y,C,C,C,P,C,C,C,X,C,C,C,R,C,R,R
Equity Mid-Sm Cap,CCAFX - Calvert Capital Accumulation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-Sm Cap,CCACX - Calvert Capital Accumulation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-Sm Cap,CCPIX - Calvert Capital Accumulation Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-Sm Cap,CCAYX - Calvert Capital Accumulation Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Specialty,CCLAX - Calvert Conservative Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Specialty,CALCX - Calvert Conservative Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
