Fund Type,Name,AUM (US$ millions),YTD %,Avg % 1 yr,Avg % 3 yr,Avg % 5 yr,Avg % 10 yr,RTN% Prev Yr,Mgmt Fee %,Exp Ratio %
Balanced,SSIAX - 1919 Socially Responsive Balanced Fund - A,121.37,9.05,10.26,4.52,7.84,5.29,5.76,0.64,1.27
Balanced,SESIX - 1919 Socially Responsive Balanced Fund - B,121.37,8.35,9.02,3.59,6.77,4.31,4.55,0.64,2.39
Balanced,SESLX - 1919 Socially Responsive Balanced Fund - C,121.37,8.48,9.5,3.76,7.07,4.61,5.02,0.64,1.98
Balanced,LMRNX - 1919 Socially Responsive Balanced Fund - I,121.37,9.28,10.62,4.8,8.13,0,6.02,0.64,1
Bond (Fixed Inc),ACASX - Access Capital Community Investment Fund A,660.42,1.86,0.56,1.94,1.59,0,1.49,0.5,1.01
Bond (Fixed Inc),ACCSX - Access Capital Community Investment Fund I,660.42,2.22,0.91,2.02,1.58,3.5,1.54,0.5,0.65
Int'l Global,APPLX - Appleseed Fund,178.31,9.97,5.62,1.17,5.8,6.18,9.94,0.85,1.2
Int'l Global,APPIX - Appleseed Fund Institutional,178.31,10.09,5.86,1.41,6.01,0,10.16,0.85,0.95
Equity Mid-Sm Cap,CAAPX - Ariel Appreciation Fund,1679.04,4.63,8.28,4.38,13.46,7.82,12.66,0.69,1.12
Equity Specialty,ARDFX - Ariel Discovery Fund,38.59,-0.99,9.44,-3.99,2.64,0,22.95,0.8,1.25
All Cap,ARFFX - Ariel Focus Fund,53.62,5.47,12.92,2.43,11.41,4.8,21.11,0.65,1
Equity Mid-Sm Cap,ARGFX - Ariel Fund,2087.05,3.58,11.32,5.91,15.15,6.78,15.56,0.59,1
Equity Large Cap,REDWX - Aspiration Redwood Fund,32.78,16.1,24.05,0,0,0,17.1,2,0
Equity Mid-Sm Cap,ADJEX - Azzad Ethical Fund,69.47,14.01,12.75,2.99,9.92,7.07,2.48,0.8,0.99
Bond (Fixed Inc),WISEX - Azzad Wise Capital Fund,105.09,1.69,0.9,1.05,1.86,0,1.4,1.19,1.36
Int'l Global,BCAIX - Boston Common International Fund,211,20.23,16.9,2.68,7.11,0,-0.96,0.9,1.12
Equity Large Cap,BCAMX - Boston Common Large Cap Core Equity Fund,32.92,12.67,13.41,7.56,12.33,0,7.88,0.75,1
Equity Large Cap,BAFWX - Brown Advisory Sustainable Growth Fund,454.22,18.25,16.61,13.31,15.89,0,5.75,0.6,0.74
Equity Specialty,CAAAX - Calvert Aggressive Allocation Fund A,135.17,12.51,15.84,6.81,11.21,4.92,7.55,0,1.26
Equity Specialty,CAACX - Calvert Aggressive Allocation Fund C,135.17,11.99,15.02,5.84,10.08,3.69,6.69,0,2.01
Balanced,CSIFX - Calvert Balanced Portfolio A,686.48,6.57,7.88,4.55,7.65,4.94,7.74,0.52,0.97
Balanced,CSGCX - Calvert Balanced Portfolio C,686.48,6.03,7.01,3.71,6.79,4.07,6.87,0.52,1.76
Balanced,CBAIX - Calvert Balanced Portfolio I,686.48,6.86,8.3,4.97,8.12,5.45,8.16,0.52,0.62
Balanced,CBAYX - Calvert Balanced Portfolio Y,686.48,6.78,8.16,4.78,0,0,8,0.52,0.73
Bond (Fixed Inc),CSIBX - Calvert Bond Portfolio A,937.61,4.14,1.67,2.71,2.47,3.9,3.63,0.47,0.89
Bond (Fixed Inc),CSBCX - Calvert Bond Portfolio C,937.61,3.5,0.78,1.83,1.61,3.06,2.73,0.47,1.73
Bond (Fixed Inc),CBDIX - Calvert Bond Portfolio I,937.61,4.35,2.06,3.17,2.98,4.48,4.06,0.47,0.51
Bond (Fixed Inc),CSIYX - Calvert Bond Portfolio Y,937.61,4.26,1.95,3,2.75,0,3.94,0.47,0.62
Equity Mid-Sm Cap,CCAFX - Calvert Capital Accumulation Fund A,255.46,4.69,9.05,2.75,8.82,6.79,6.39,0.77,1.21
Equity Mid-Sm Cap,CCACX - Calvert Capital Accumulation Fund C,255.46,4.22,8.3,1.98,7.99,5.96,5.59,0.77,1.96
Equity Mid-Sm Cap,CCPIX - Calvert Capital Accumulation Fund I,255.46,4.98,9.44,3.25,9.4,7.52,6.83,0.77,0.85
Equity Mid-Sm Cap,CCAYX - Calvert Capital Accumulation Fund Y,255.46,4.88,9.33,3,9.06,0,6.7,0.77,0.96
Equity Specialty,CCLAX - Calvert Conservative Allocation Fund A,184.14,6.7,7.43,4.32,5.96,5,5.05,0,0.44
Equity Specialty,CALCX - Calvert Conservative Allocation Fund C,184.14,6.18,6.69,3.42,4.99,3.86,4.24,0,1.8
Int'l Global,CVMAX - Calvert Emerging Markets Equity Fund A,271.45,34.69,30.15,6.59,0,0,6.55,1,1.27
Int'l Global,CVMCX - Calvert Emerging Markets Equity Fund C,271.45,34.03,29.13,5.72,0,0,5.72,1,2.02
Int'l Global,CVMIX - Calvert Emerging Markets Equity Fund I,271.45,35.03,30.61,6.97,0,0,6.83,1,0.92
Int'l Global,CVMYX - Calvert Emerging Markets Equity Fund Y,271.45,34.88,30.45,6.84,0,0,6.82,1,1.02
Equity Large Cap,CSIEX - Calvert Equity Portfolio A,2122.29,15.55,13.83,8.84,12.76,7.76,2.32,0.62,1.07
Equity Large Cap,CSECX - Calvert Equity Portfolio C,2122.29,14.99,12.97,8.03,11.93,6.95,1.49,0.62,1.81
Equity Large Cap,CEYIX - Calvert Equity Portfolio I,2122.29,15.86,14.28,9.32,13.29,8.31,2.71,0,0.66
Equity Large Cap,CIEYX - Calvert Equity Portfolio Y,2122.29,15.79,14.17,9.17,13.13,0,2.62,0.62,0.77
Int'l Global,CGAEX - Calvert Global Energy Solutions Fund A,84.47,18.54,15.09,-2.9,7.22,-7.16,-7.73,0.87,1.85
Int'l Global,CGACX - Calvert Global Energy Solutions Fund C,84.47,17.87,14.19,-3.71,6.26,-8.04,-8.4,0.87,2.85
Int'l Global,CAEIX - Calvert Global Energy Solutions Fund I,84.47,18.79,15.49,-2.45,7.73,-6.73,-7.24,0.87,1.4
Int'l Global,CGAYX - Calvert Global Energy Solutions Fund Y,84.47,18.85,15.43,-2.62,7.49,0,-7.53,0.87,1.6
Int'l Global,CFWAX - Calvert Global Water Fund A,443.54,10.03,10.16,0.19,8.4,0,13.99,0.84,1.28
Int'l Global,CFWCX - Calvert Global Water Fund C,443.54,9.51,9.37,-0.53,7.57,0,13.15,0.84,2.03
Int'l Global,CFWIX - Calvert Global Water Fund I,443.54,10.33,10.58,0.63,0,0,14.43,0.99,1.29
Int'l Global,CFWYX - Calvert Global Water Fund Y,443.54,10.24,10.42,0.49,8.73,0,14.29,0.84,1.03
Bond (Fixed Inc),CGAFX - Calvert Green Bond Fund A,94.93,3.4,1.32,2.54,0,0,3.66,0.42,0.88
Bond (Fixed Inc),CGBIX - Calvert Green Bond Fund I,94.93,3.65,1.7,2.99,0,0,4.05,0.42,0.5
Bond (Fixed Inc),CGYFX - Calvert Green Bond Fund Y,94.93,3.56,1.57,2.81,0,0,3.91,0.42,0.63
Bond (Fixed Inc),CYBAX - Calvert High Yield Bond Fund A,184.48,4.5,6,2.61,4.99,0,11.69,0.6,1.07
Bond (Fixed Inc),CHBCX - Calvert High Yield Bond Fund C,184.48,3.96,5.2,1.73,4.02,0,10.87,0.6,2.07
Bond (Fixed Inc),CYBIX - Calvert High Yield Bond Fund I,184.48,4.69,6.33,2.95,5.33,0,12.1,0.6,0.74
Bond (Fixed Inc),CYBYX - Calvert High Yield Bond Fund Y,184.48,4.65,6.23,2.87,5.24,0,11.97,0.6,0.82
Bond (Fixed Inc),CFICX - Calvert Income Fund A,521.79,5.58,2.39,2.96,3.18,3.68,5.6,0.52,1.24
Bond (Fixed Inc),CIFCX - Calvert Income Fund C,521.79,5.01,1.57,2.2,2.43,2.94,4.79,0.52,1.93
Bond (Fixed Inc),CINCX - Calvert Income Fund I,521.79,5.91,2.78,3.48,3.73,4.23,5.94,0.52,0.64
Bond (Fixed Inc),CICRX - Calvert Income Fund R,521.79,5.24,1.93,2.58,2.87,3.35,5.08,0.52,1.47
Bond (Fixed Inc),CIFYX - Calvert Income Fund Y,521.79,5.8,2.67,3.27,3.5,0,5.84,0.52,0.91
Int'l Global,CWVGX - Calvert International Equity Fund A,231.28,14.06,13.13,0.8,6.3,-1.72,-3.85,0.86,1.34
Int'l Global,CWVCX - Calvert International Equity Fund C,231.28,13.54,12.3,0.02,5.41,-2.55,-4.66,0.86,2.09
Int'l Global,CWVIX - Calvert International Equity Fund I,231.28,14.38,13.56,1.27,6.87,-1.08,-3.5,0.86,0.96
Int'l Global,CWEYX - Calvert International Equity Fund Y,231.28,14.31,13.48,1.09,6.62,0,-3.66,0.86,1.09
Int'l Global,COIIX - Calvert International Opportunities Fund A,209.65,26.44,25.78,6.6,12.11,4.32,0.95,0.87,1.16
Int'l Global,COICX - Calvert International Opportunities Fund C,209.65,25.39,24.33,5.22,10.64,2.99,-0.29,0.87,2.26
Int'l Global,CWVYX - Calvert International Opportunities Fund Y,209.65,26.37,25.66,6.43,11.91,0,0.88,0.87,1.15
Bond (Fixed Inc),CLDAX - Calvert Long-Term Income Fund A,94.42,7.98,0.63,4.07,4.23,7.78,6.79,0.52,1.25
