Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
SSIAX - 1919 Socially Responsive Balanced Fund - A,Balanced,121.37,0.64,1.27,9.05,4.52,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,,Yes
SESIX - 1919 Socially Responsive Balanced Fund - B,Balanced,121.37,0.64,2.39,8.35,3.59,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,,Yes
SESLX - 1919 Socially Responsive Balanced Fund - C,Balanced,121.37,0.64,1.98,8.48,3.76,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,,Yes
LMRNX - 1919 Socially Responsive Balanced Fund - I,Balanced,121.37,0.64,1,9.28,4.8,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,,Yes
ACASX - Access Capital Community Investment Fund A,Bond (Fixed Inc),660.42,0.5,1.01,1.86,1.94,-- *,X,--,P,--,--,--,X,--,--,X,X,X,X,X,Yes,
ACCSX - Access Capital Community Investment Fund I,Bond (Fixed Inc),660.42,0.5,0.65,2.22,2.02,-- *,--,--,P,--,--,--,X,--,--,X,X,X,X,X,Yes,
APPLX - Appleseed Fund,Int'l Global,178.31,0.85,1.2,9.97,1.17,C *,C,C,P,--,P,P,X,C,C,X,--,R,X,X,,Yes
APPIX - Appleseed Fund Institutional,Int'l Global,178.31,0.85,0.95,10.09,1.41,C *,C,C,P,--,P,P,X,C,C,X,--,R,X,X,,Yes
CAAPX - Ariel Appreciation Fund,Equity Mid-Sm Cap,1679.04,0.69,1.12,4.63,4.38,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X,,
ARDFX - Ariel Discovery Fund,Equity Specialty,38.59,0.8,1.25,-0.99,-3.99,--,--,--,P,P,--,--,X,P,--,--,--,X,--,X,,
ARFFX - Ariel Focus Fund,All Cap,53.62,0.65,1,5.47,2.43,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X,,
ARGFX - Ariel Fund,Equity Mid-Sm Cap,2087.05,0.59,1,3.58,5.91,--,--,P,P,P,--,--,X,P,--,--,--,X,--,X,,
REDWX - Aspiration Redwood Fund,Equity Large Cap,32.78,2,0,16.1,0,P,P,P,P,P,P,P,X,P,P,X,X,X,X,X,Yes,
ADJEX - Azzad Ethical Fund,Equity Mid-Sm Cap,69.47,0.8,0.99,14.01,2.99,R,R,R,--,--,R,R,X,--,--,X,R,X,X,X,Yes,Yes
WISEX - Azzad Wise Capital Fund,Bond (Fixed Inc),105.09,1.19,1.36,1.69,1.05,R,--,R,P,--,R,R,X,--,--,X,R,X,X,X,,Yes
BCAIX - Boston Common International Fund,Int'l Global,211,0.9,1.12,20.23,2.68,C,C,C,P,C,C,C,R,C,--,R,R,R,R,R,Yes,Yes
BCAMX - Boston Common Large Cap Core Equity Fund,Equity Large Cap,32.92,0.75,1,12.67,7.56,C,C,C,P,C,C,C,R,P,--,R,R,R,R,R,Yes,Yes
BAFWX - Brown Advisory Sustainable Growth Fund,Equity Large Cap,454.22,0.6,0.74,18.25,13.31,P,P,P,P,P,P,P,--,P,P,--,--,--,--,--,,Yes
CAAAX - Calvert Aggressive Allocation Fund A,Equity Specialty,135.17,0,1.26,12.51,6.81,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CAACX - Calvert Aggressive Allocation Fund C,Equity Specialty,135.17,0,2.01,11.99,5.84,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CSIFX - Calvert Balanced Portfolio A,Balanced,686.48,0.52,0.97,6.57,4.55,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,Yes,Yes
CSGCX - Calvert Balanced Portfolio C,Balanced,686.48,0.52,1.76,6.03,3.71,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,Yes,Yes
