"Name","Fund Type","Attribute Type","Attribute","Rating","NumCompanies","Avg % Return 3 yr"
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","-- *",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Environment","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Governance","Board Issues","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Governance","Executive Pay","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Alcohol","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Animal Welfare","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Gambling","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Products","Tobacco","X",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Community Development","P",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Human Rights","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Labor Relations","--",1,1.94
"ACASX - Access Capital Community Investment Fund A","Bond (Fixed Inc)","Social","Sudan","X",1,1.94
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","-- *",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Environment","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Environmental","Pollution/Toxics","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Alcohol","X",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Animal Welfare","X",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Gambling","X",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Products","Tobacco","X",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Community Development","P",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Diversity & EEO","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Human Rights","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Labor Relations","--",1,2.02
"ACCSX - Access Capital Community Investment Fund I","Bond (Fixed Inc)","Social","Sudan","X",1,2.02
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Environment","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Governance","Board Issues","--",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Alcohol","X",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Animal Welfare","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Gambling","X",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Products","Tobacco","X",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Community Development","--",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Diversity & EEO","--",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Human Rights","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Labor Relations","R",1,2.99
"ADJEX - Azzad Ethical Fund","Equity Mid-Sm Cap","Social","Sudan","X",1,2.99
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Climate/Clean Technology","C *",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Environment","C",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Environmental","Pollution/Toxics","C",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Governance","Board Issues","C",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Governance","Executive Pay","C",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Alcohol","X",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Animal Welfare","--",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Defense/Weapons","R",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Gambling","X",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Tobacco","X",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Community Development","P",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Diversity & EEO","--",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Human Rights","P",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Labor Relations","P",1,1.41
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Sudan","X",1,1.41
"APPLX - Appleseed Fund","Int'l Global","Environmental","Climate/Clean Technology","C *",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Environmental","Environment","C",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Governance","Board Issues","C",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Governance","Executive Pay","C",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Products","Alcohol","X",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Products","Animal Welfare","--",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Products","Defense/Weapons","R",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Products","Gambling","X",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Products","Tobacco","X",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Social","Community Development","P",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Social","Diversity & EEO","--",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Social","Human Rights","P",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Social","Labor Relations","P",1,1.17
"APPLX - Appleseed Fund","Int'l Global","Social","Sudan","X",1,1.17
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Climate/Clean Technology","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Environment","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Pollution/Toxics","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Governance","Board Issues","P",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Governance","Executive Pay","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Alcohol","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Animal Welfare","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Defense/Weapons","X",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Gambling","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Tobacco","X",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Community Development","P",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Diversity & EEO","P",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Human Rights","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Labor Relations","--",1,-3.99
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Sudan","X",1,-3.99
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Climate/Clean Technology","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Environment","P",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Pollution/Toxics","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Governance","Board Issues","P",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Governance","Executive Pay","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Products","Alcohol","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Products","Animal Welfare","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Products","Defense/Weapons","X",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Products","Gambling","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Products","Tobacco","X",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Social","Community Development","P",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Social","Diversity & EEO","P",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Social","Human Rights","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Social","Labor Relations","--",1,2.43
"ARFFX - Ariel Focus Fund","All Cap","Social","Sudan","X",1,2.43
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Environment","P",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Governance","Board Issues","P",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Alcohol","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Animal Welfare","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Gambling","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Tobacco","X",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Community Development","P",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Diversity & EEO","P",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Human Rights","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Labor Relations","--",1,5.91
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Sudan","X",1,5.91
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Climate/Clean Technology","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Environment","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Pollution/Toxics","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Governance","Board Issues","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Governance","Executive Pay","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Alcohol","--",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Animal Welfare","--",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Defense/Weapons","--",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Gambling","--",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Tobacco","--",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Community Development","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Diversity & EEO","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Human Rights","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Labor Relations","P",1,13.31
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Sudan","--",1,13.31
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Climate/Clean Technology","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Environment","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Governance","Board Issues","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Governance","Executive Pay","--",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Products","Alcohol","R",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Products","Animal Welfare","R",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Products","Defense/Weapons","R",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Products","Gambling","R",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Products","Tobacco","R",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Social","Community Development","P",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Social","Diversity & EEO","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Social","Human Rights","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Social","Labor Relations","C",1,2.68
"BCAIX - Boston Common International Fund","Int'l Global","Social","Sudan","R",1,2.68
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Environment","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Pollution/Toxics","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Governance","Board Issues","P",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Governance","Executive Pay","--",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Alcohol","R",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Animal Welfare","R",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Defense/Weapons","R",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Gambling","R",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Tobacco","R",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Community Development","P",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Diversity & EEO","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Human Rights","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Labor Relations","C",1,7.56
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Sudan","R",1,7.56
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Climate/Clean Technology","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Environment","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Governance","Board Issues","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Governance","Executive Pay","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Alcohol","X",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Animal Welfare","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Defense/Weapons","X",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Gambling","X",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Tobacco","X",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Community Development","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Diversity & EEO","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Human Rights","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Labor Relations","C",1,4.75
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Sudan","R",1,4.75
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Climate/Clean Technology","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Environment","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Pollution/Toxics","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Governance","Board Issues","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Governance","Executive Pay","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Products","Alcohol","R",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Products","Animal Welfare","R",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Products","Defense/Weapons","R",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Products","Gambling","R",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Products","Tobacco","R",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Social","Community Development","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Social","Diversity & EEO","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Social","Human Rights","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Social","Labor Relations","C",1,6.81
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Social","Sudan","--",1,6.81
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Environmental","Climate/Clean Technology","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Environmental","Environment","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Environmental","Pollution/Toxics","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Governance","Board Issues","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Governance","Executive Pay","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Products","Alcohol","R",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Products","Animal Welfare","R",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Products","Defense/Weapons","R",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Products","Gambling","R",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Products","Tobacco","R",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Social","Community Development","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Social","Diversity & EEO","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Social","Human Rights","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Social","Labor Relations","C",1,5.84
"CAACX - Calvert Aggressive Allocation Fund C","Equity Specialty","Social","Sudan","--",1,5.84
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Environmental","Environment","P",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Governance","Board Issues","P",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Products","Alcohol","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Products","Animal Welfare","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Products","Gambling","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Products","Tobacco","X",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Social","Community Development","P",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Social","Diversity & EEO","P",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Social","Human Rights","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Social","Labor Relations","--",1,4.38
"CAAPX - Ariel Appreciation Fund","Equity Mid-Sm Cap","Social","Sudan","X",1,4.38
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Environmental","Climate/Clean Technology","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Environmental","Environment","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Environmental","Pollution/Toxics","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Governance","Board Issues","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Governance","Executive Pay","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Products","Alcohol","R",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Products","Animal Welfare","R",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Products","Defense/Weapons","R",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Products","Gambling","R",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Products","Tobacco","R",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Social","Community Development","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Social","Diversity & EEO","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Social","Human Rights","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Social","Labor Relations","C",1,-2.45
"CAEIX - Calvert Global Energy Solutions Fund I","Int'l Global","Social","Sudan","--",1,-2.45
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Environmental","Climate/Clean Technology","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Environmental","Environment","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Environmental","Pollution/Toxics","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Governance","Board Issues","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Governance","Executive Pay","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Products","Alcohol","R",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Products","Animal Welfare","R",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Products","Defense/Weapons","R",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Products","Gambling","R",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Products","Tobacco","R",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Social","Community Development","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Social","Diversity & EEO","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Social","Human Rights","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Social","Labor Relations","C",1,3.42
"CALCX - Calvert Conservative Allocation Fund C","Equity Specialty","Social","Sudan","--",1,3.42
"CBAIX - Calvert Balanced Portfolio I","Balanced","Environmental","Climate/Clean Technology","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Environmental","Environment","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Environmental","Pollution/Toxics","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Governance","Board Issues","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Governance","Executive Pay","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Products","Alcohol","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Products","Animal Welfare","--",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Products","Defense/Weapons","C",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Products","Gambling","R",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Products","Tobacco","R",1,4.97
"CBAIX - Calvert Balanced Portfolio I","Balanced","Social","Community Development","P",1,4.97
